 MES            Lista de Sitios Fraudulentos
NOVIEMBRE	https://miltoncorporation-ltd.com/
NOVIEMBRE	https://fx-digital.com/
NOVIEMBRE	https://www.criptogenix.com/
NOVIEMBRE	https://accordtradingltd.com/
NOVIEMBRE	https://fundsbitltd.com/
NOVIEMBRE	https://globaltrusts-capital.com/
NOVIEMBRE	https://criptolandfx.com/
NOVIEMBRE	https://cabinet-affirm.ltd/
NOVIEMBRE	https://bestpay-coin.com/

OCTUBRE		https://axiomgloballtd.com/
OCTUBRE		http://Bitmaxwealth.com
OCTUBRE		https://www.futurehopes.net/
OCTUBRE		https://tangomining.io/
OCTUBRE		https://tradingmax.online/
OCTUBRE		http://miltoncorporation-ltd.com/
OCTUBRE		https://www.topsidemining.com/

SEPTIEMBRE	http://Efinancebank.com
SEPTIEMBRE	https://trustedfinancelimited.com/
SEPTIEMBRE	https://avidfundslimited.com/
SEPTIEMBRE	https://kefaliolabs.com/
SEPTIEMBRE	https://smartbusinesscorp.com.mx/
SEPTIEMBRE	https://ultimatetrustcapitals.com/
SEPTIEMBRE	https://capitalapex.ltd/
SEPTIEMBRE	https://vortexprimes.com/
SEPTIEMBRE	https://avaxinternational.com/
SEPTIEMBRE	https://cryptocurrencyfxmining.com/
SEPTIEMBRE	https://coin-assets.ltd/
SEPTIEMBRE	https://lunzofx.com
SEPTIEMBRE	https://pemaxlimited.com/
SEPTIEMBRE	https://rarecapitaltrade.com/
SEPTIEMBRE	http://Kudx.pw
SEPTIEMBRE	https://kudx.nl/
SEPTIEMBRE	https://kudx.com/
SEPTIEMBRE	https://vaultexfx.uk/
SEPTIEMBRE	https://tradeequityfx.com/
SEPTIEMBRE	https://bitswanmining.com/

AGOSTO	https://www.ultipax-fx.co/
AGOSTO	https://avromaxcapital.com/
AGOSTO	https://growbits.org/#openModal
AGOSTO	https://centennialcryptos.com/
AGOSTO	https://legal-affinity.com/
AGOSTO	https://luminoustraders.com/
AGOSTO	https://gig-os.com/
AGOSTO	https://omegapro.world/es/
AGOSTO	https://acordacapital.org/
AGOSTO	https://macqinvest.com/
AGOSTO	https://cloudfxmining.com/
AGOSTO	https://digital-invest.co/
AGOSTO	https://tradingmax.online/
AGOSTO	https://ganardineroconpayoneer.com/

JULIO	https://azcoinservice.com/
JULIO	http://caltexasset.com/
JULIO	https://bizztradepro.live/
JULIO	http://www.solartechms.net/
JULIO	https://imperiumcapitalpartnersltd.com/
JULIO	https://worldgobal-investment.com/
JULIO	https://trademorh.com/login
JULIO	https://www.goldeninvest.ltd/
JULIO	https://kpispine.com/
JULIO	https://fxcloudonline.trade/en-us
JULIO	https://www.triconinvestmentslimited.com/
JULIO	http://proliferatefunds.com/
JULIO	https://www.originenergyfinance.com/
JULIO	https://heritagetrusteesltd.com/
JULIO	https://binaryinvestmentltd.com/
JULIO	https://investnode.co/
JULIO	https://capitalracelimited.com/
JULIO	https://metaassetfx.com/
JULIO	https://www.ascendtech.site/
JULIO	https://global-grantltd.org/
JULIO	https://marginfinance.net/
JULIO	https://crypto-global.net/
JULIO	https://zeeprime-capital.com/
JULIO	https://web.bjk9.com/
JULIO	https://fastcoinstrade.xyz/

JUNIO	https://wealthinvestmentltd.com/
JUNIO	https://hotbitinvestment.io/
JUNIO	https://www.aflexmining.com/
JUNIO	https://crowdfundingltd.net/
JUNIO	https://burkeurbaninvestments.com/
JUNIO	https://www.ellentrading.com/
JUNIO	https://coinberry.ltd/
JUNIO	https://metroassetsmanagement.com
JUNIO	https://www.winworld.uk/
JUNIO	https://evzenfinance.com/
JUNIO	https://cedarfinancial.ltd/
JUNIO	https://panteracapita.com/
JUNIO	https://defi-invite.com/
JUNIO	https://quadchainx.ltd/
JUNIO	https://eagleglobalinvestment.com/
JUNIO	https://wealthminingltd.com/
JUNIO	https://wealthchainltd.com/
JUNIO	https://metroassetsmanagement.com/
JUNIO	https://www.venturcapital.ltd/
JUNIO	https://coinfirmglobal.org/
JUNIO	https://bit-coinscale.co/
MUERTA	https://heritagetrustees.com/
JUNIO	https://globalprimexbt.com/index.html
JUNIO	https://trustfundholding.ltd/
JUNIO	https://criptogenius.com
JUNIO	https://capitalcottage.ltd/
JUNIO	https://bizz-crypto.com/
JUNIO	https://tradepowerltd.com/
JUNIO	https://heritageinvestmentcorp.com/
JUNIO	https://astfundinvestment.ltd/
JUNIO	https://www3.bn-trust.com
JUNIO	https://bit-cash.ltd/
JUNIO	https://logiccryptofx.net/
JUNIO	https://kingwayinvestment.com/
JUNIO	https://lexpointfinance.com/
JUNIO	https://bitcapitalfxtrades.com/
JUNIO	https://arcticfinancialtrade.com/
JUNIO	https://www.marstradefx.com/home/
JUNIO	https://www.apex-finance-limited.com/
JUNIO	https://autotrading-limited.com/
JUNIO	https://wealthsevolution.com/
JUNIO	https://alliancecrypto-profit.com/
JUNIO	https://www.bitforumcxc.com/
JUNIO	https://avromax.fund/
JUNIO	https://www.traderleash.com/
JUNIO	https://digitalminage.net/
JUNIO	https://www.coin-tradefair.com/
JUNIO	https://fedelityfunds-crypto.com/
JUNIO	https://www.axiafunder.com/
JUNIO	http://Oprainvestment.com
JUNIO	https://bit-xtra.com/
JUNIO	https://cellarscoin.com/
JUNIO	https://www.petramining.com/
JUNIO	https://miningxtrade.com/login.php
JUNIO	https://www.zelfinance.com/
JUNIO	https://kucointrading.org/
JUNIO	https://nexosinvholdings.com/
JUNIO	https://www.deluxeswealth.com/

MAYO	https://otffxinvestment.com/
MAYO	https://www.cucoinfxtrading.com/
MAYO	https://cashexpertfx.com/
MAYO	https://cryptorocketfxtrade.com/
MAYO	https://benezcapital.com/
MAYO	https://safemaxindex.com/
MAYO	https://gdenlinea.net/
MAYO	https://wortev.capital/

OTROS	Lista de Sitios Fraudulentos

MUERTA	https://dustechenergy.ltd/about.html
	https://globalreturnslimited.com/
	https://accessinvestmentcompany.com/
	https://www.cryptovigo-investment.ltd/
	https://www.wealthtrustcapitals.com/
	https://crest-investments.ltd/
	https://xpertminerlimited.com/about/
	https://www.profitcounts-ltd.com/
	https://www.ultimatecoinsfx.com/
	https://www.gavaincapital.ltd/
	https://www.ezcointrade.io/
	https://mendaurinvestment.com/
	http://ARGENTVAULT.NET
	https://alfaroinvestment.com/
	https://ecofinance.ltd/
	https://amco-rty.org/
	https://hikelimited.org/
	https://coiningwaftfloat.net/
	http://krevitinvestment.com/
	https://binancerevenue.com
	https://rainbowglobalwealth.com/
	https://glaxocapitals.com/
	http://leumi-vest.net
	http://globalbitchain.com
	https://vertotrades.com/
	https://profit-guaranteeltd.com/
MUERTA	https://waverton-trade.com/
MUERTA	https://f-technology.online/
	https://bitminiglimited.com/
	https://bigcoininvestment.com/
MUERTA	https://bitexvests.com/en/
MUERTA	https://futurehope.ltd/
	https://uniqueglobaltrade.org/
MUERTA	https://merillfinance.com/

MUERTA	http://thesuperfx.online/
MUERTA	https://apexfinance-limited.com/
MUERTA	https://acordacapital.com/
MUERTA	https://nickelgridtrading.com/
MUERTA	https://htquicktrade.com/
MUERTA	https://capitalinvestmentcompany.co/
MUERTA	https://logicpro.biz/
MUERTA	https://ea-income-stores.co/
MUERTA	https://paymoney.digital/
MUERTA	https://hivewizard.com/
MUERTA	http://Goldenedgeinv.com
MUERTA	https://fentekinvestment.com/home/terms
MUERTA	https://www.bronfinance.com/
MUERTA	https://greengrowthltd.org/?a=about
MUERTA	https://www.btcexploit.com/
MUERTA	https://siic-miners.fund/
MUERTA	https://www.cryptofunds.ltd/
MUERTA	https://xumacapital.com/
MUERTA	https://fund-capital.ltd/
MUERTA	https://azuretradefx.ltd/?a=about
MUERTA	https://coin-stations.com/
MUERTA	http://greengrowthltd.org/
MUERTA	https://enbridge.ltd/
MUERTA	https://proinvest.home.capecoasts.online/

2022
